Alphabet cardinality, Epsilon percentage, Automaton's size (#states), Automaton's transitions percentage, Automaton's max distance, Automaton's safe-zone distance, SC min, SC avg, SC max, ESC min, ESC avg, ESC max
5, 0.000000, 1000, 0.100000, 50, 80, 108, 111.600000, 127, 8, 11.800000, 13
5, 0.300000, 1000, 0.100000, 50, 80, 108, 171.100000, 734, 8, 11.600000, 12
5, 0.600000, 1000, 0.100000, 50, 80, 104, 108.100000, 110, 8, 11.400000, 13
5, 0.800000, 1000, 0.100000, 50, 80, 107, 108.200000, 110, 8, 11.500000, 12
5, 1.000000, 1000, 0.100000, 50, 80, 106, 108.400000, 110, 8, 65.100000, 547
5, 0.000000, 1000, 0.200000, 50, 80, 106, 108.800000, 113, 8, 11.500000, 12
5, 0.300000, 1000, 0.200000, 50, 80, 106, 110.500000, 119, 8, 11.500000, 14
5, 0.600000, 1000, 0.200000, 50, 80, 104, 477.600000, 3823, 8, 53.300000, 426
5, 0.800000, 1000, 0.200000, 50, 80, 104, 1295.700000, 5957, 8, 104.600000, 941
5, 1.000000, 1000, 0.200000, 50, 80, 106, 108.700000, 114, 8, 11.700000, 13
5, 0.000000, 1000, 0.000000, 100, 80, 101, 149.900000, 513, 17, 24.900000, 69
5, 0.300000, 1000, 0.000000, 100, 80, 86, 90.700000, 108, 30, 33.700000, 37
5, 0.600000, 1000, 0.000000, 100, 80, 77, 79.500000, 83, 23, 28.600000, 32
5, 0.800000, 1000, 0.000000, 100, 80, 75, 76.800000, 79, 19, 23.500000, 25
5, 1.000000, 1000, 0.000000, 100, 80, 69, 71.700000, 75, 16, 18.700000, 21
5, 0.000000, 1000, 0.050000, 100, 80, 98, 101.900000, 107, 15, 20.100000, 27
5, 0.300000, 1000, 0.050000, 100, 80, 87, 89.700000, 95, 33, 35.200000, 38
5, 0.600000, 1000, 0.050000, 100, 80, 78, 80.200000, 84, 25, 28.500000, 31
5, 0.800000, 1000, 0.050000, 100, 80, 72, 261.000000, 1908, 21, 24.400000, 27
5, 1.000000, 1000, 0.050000, 100, 80, 70, 114.200000, 504, 15, 19.100000, 21
5, 0.000000, 1000, 0.100000, 100, 80, 99, 171.200000, 790, 18, 27.400000, 91
5, 0.300000, 1000, 0.100000, 100, 80, 88, 134.700000, 507, 34, 287.500000, 2560
5, 0.600000, 1000, 0.100000, 100, 80, 77, 397.500000, 2290, 26, 223.900000, 1980
5, 0.800000, 1000, 0.100000, 100, 80, 72, 79.400000, 121, 21, 22.600000, 24
5, 1.000000, 1000, 0.100000, 100, 80, 69, 71.900000, 78, 15, 18.400000, 19
5, 0.000000, 1000, 0.200000, 100, 80, 102, 220.000000, 1171, 17, 21.400000, 28
5, 0.300000, 1000, 0.200000, 100, 80, 96, 177.800000, 734, 34, 39.200000, 44
5, 0.600000, 1000, 0.200000, 100, 80, 79, 81.500000, 84, 26, 43.700000, 176
5, 0.800000, 1000, 0.200000, 100, 80, 74, 110.500000, 376, 22, 195.000000, 1431
5, 1.000000, 1000, 0.200000, 100, 80, 68, 82.000000, 200, 14, 18.100000, 20
5, 0.000000, 1000, 0.000000, 200, 80, 89, 93.000000, 97, 28, 32.900000, 40
5, 0.300000, 1000, 0.000000, 200, 80, 63, 157.800000, 989, 69, 384.400000, 3181
5, 0.600000, 1000, 0.000000, 200, 80, 40, 356.000000, 2113, 47, 90.800000, 350
5, 0.800000, 1000, 0.000000, 200, 80, 31, 5091.800000, 28035, 38, 1610.100000, 10048
5, 1.000000, 1000, 0.000000, 200, 80, 22, 11886.200000, 61877, 544, 36588.700000, 125605
5, 0.000000, 1000, 0.100000, 100, 200, 102, 103.000000, 105, 7, 10.700000, 12
5, 0.300000, 1000, 0.100000, 100, 200, 101, 102.600000, 105, 7, 10.700000, 12
5, 0.600000, 1000, 0.100000, 100, 200, 102, 102.900000, 104, 7, 10.600000, 11
5, 0.800000, 1000, 0.100000, 100, 200, 102, 102.500000, 103, 7, 10.600000, 11
5, 1.000000, 1000, 0.100000, 100, 200, 102, 102.900000, 103, 7, 10.600000, 11
5, 0.000000, 1000, 0.100000, 200, 200, 102, 103.500000, 109, 7, 10.800000, 12
5, 0.300000, 1000, 0.100000, 200, 200, 102, 102.200000, 103, 7, 10.700000, 12
5, 0.600000, 1000, 0.100000, 200, 200, 104, 108.200000, 114, 7, 10.900000, 12
5, 0.800000, 1000, 0.100000, 200, 200, 101, 103.500000, 110, 8, 10.800000, 12
5, 1.000000, 1000, 0.100000, 200, 200, 101, 101.900000, 102, 7, 10.600000, 11
5, 0.000000, 1000, 0.100000, 500, 200, 93, 95.300000, 99, 17, 23.400000, 28
5, 0.300000, 1000, 0.100000, 500, 200, 62, 65.400000, 70, 64, 67.900000, 72
5, 0.600000, 1000, 0.100000, 500, 200, 41, 44.200000, 47, 45, 51.000000, 55
5, 0.800000, 1000, 0.100000, 500, 200, 29, 34.200000, 44, 35, 45.000000, 71
5, 1.000000, 1000, 0.100000, 500, 200, 24, 35.100000, 43, 35, 48.000000, 60
5, 0.000000, 1000, 0.100000, 100, 300, 111, 134.400000, 209, 9, 14.900000, 22
5, 0.300000, 1000, 0.100000, 100, 300, 102, 106.200000, 110, 7, 11.200000, 12
5, 0.600000, 1000, 0.100000, 100, 300, 118, 142.600000, 191, 13, 16.200000, 22
5, 0.800000, 1000, 0.100000, 100, 300, 113, 143.400000, 194, 10, 15.700000, 22
5, 1.000000, 1000, 0.100000, 100, 300, 105, 111.000000, 121, 7, 12.200000, 18
5, 0.000000, 1000, 0.100000, 200, 300, 103, 105.400000, 112, 8, 10.900000, 12
5, 0.300000, 1000, 0.100000, 200, 300, 103, 115.600000, 126, 8, 11.900000, 14
5, 0.600000, 1000, 0.100000, 200, 300, 111, 125.100000, 149, 8, 13.700000, 20
5, 0.800000, 1000, 0.100000, 200, 300, 109, 144.900000, 170, 12, 18.000000, 21
5, 1.000000, 1000, 0.100000, 200, 300, 102, 107.200000, 125, 8, 11.900000, 19
5, 0.000000, 1000, 0.100000, 500, 300, 98, 101.800000, 117, 15, 19.400000, 23
5, 0.300000, 1000, 0.100000, 500, 300, 76, 78.600000, 82, 53, 55.400000, 57
5, 0.600000, 1000, 0.100000, 500, 300, 57, 58.900000, 64, 34, 39.200000, 45
5, 0.800000, 1000, 0.100000, 500, 300, 47, 50.600000, 57, 23, 30.000000, 37
5, 1.000000, 1000, 0.100000, 500, 300, 41, 41.200000, 42, 20, 22.900000, 24
5, 0.000000, 1000, 0.100000, 100, 400, 102, 104.800000, 112, 8, 10.900000, 12
5, 0.300000, 1000, 0.100000, 100, 400, 103, 103.200000, 104, 7, 10.600000, 11
5, 0.600000, 1000, 0.100000, 100, 400, 102, 103.000000, 104, 7, 10.700000, 12
5, 0.800000, 1000, 0.100000, 100, 400, 103, 106.100000, 121, 7, 10.800000, 12
5, 1.000000, 1000, 0.100000, 100, 400, 102, 103.100000, 106, 8, 10.700000, 11
5, 0.000000, 1000, 0.100000, 200, 400, 102, 103.500000, 108, 7, 10.700000, 12
5, 0.300000, 1000, 0.100000, 200, 400, 102, 102.400000, 103, 7, 10.600000, 11
5, 0.600000, 1000, 0.100000, 200, 400, 103, 103.400000, 104, 7, 10.700000, 12
5, 0.800000, 1000, 0.100000, 200, 400, 103, 103.700000, 105, 8, 10.700000, 11
5, 1.000000, 1000, 0.100000, 200, 400, 103, 103.500000, 104, 8, 10.700000, 11
5, 0.000000, 1000, 0.100000, 500, 400, 100, 101.600000, 103, 13, 14.900000, 17
5, 0.300000, 1000, 0.100000, 500, 400, 88, 89.500000, 92, 30, 34.200000, 37
5, 0.600000, 1000, 0.100000, 500, 400, 78, 80.300000, 82, 23, 25.700000, 27
5, 0.800000, 1000, 0.100000, 500, 400, 73, 73.900000, 75, 16, 19.900000, 21
5, 1.000000, 1000, 0.100000, 500, 400, 68, 69.100000, 70, 13, 15.800000, 17
5, 0.000000, 1000, 0.100000, 100, 450, 103, 103.600000, 104, 8, 10.800000, 12
5, 0.300000, 1000, 0.100000, 100, 450, 103, 103.800000, 104, 7, 10.600000, 11
